,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta1,params_beta2,params_conv_layer0_activation,params_conv_layer0_dropout_p,params_conv_layer0_filters,params_conv_layer1_activation,params_conv_layer1_dropout_p,params_conv_layer1_filters,params_conv_layer2_activation,params_conv_layer2_dropout_p,params_conv_layer2_filters,params_conv_layer3_activation,params_conv_layer3_dropout_p,params_conv_layer3_filters,params_dense_layer0_activation,params_dense_layer0_batchnorm_used,params_dense_layer0_dropout_p,params_dense_layer0_n_neurons,params_dense_layer1_activation,params_dense_layer1_batchnorm_used,params_dense_layer1_dropout_p,params_dense_layer1_n_neurons,params_dense_layer2_activation,params_dense_layer2_batchnorm_used,params_dense_layer2_dropout_p,params_dense_layer2_n_neurons,params_lr,params_momentum,params_n_conv_layers,params_n_dense_layers,params_optimizer,params_weight_decay,state
24,24,0.30121655464172364,2026-04-04 19:51:57.060171,2026-04-04 19:52:08.780198,0 days 00:00:11.720027,,0.7705877468017643,0.9460444282620464,relu,0.33078296468171525,128,relu,0.13569364099398173,16,relu,0.08541653173886106,256.0,leaky_relu,0.2774300198296739,256.0,leaky_relu,False,0.041725299733066434,16,,,,,,,,,0.0046622342535266835,,4,1,Adam,0.0001630081176598674,COMPLETE
25,25,2.2893682718276978,2026-04-04 19:52:08.792526,2026-04-04 19:52:14.732316,0 days 00:00:05.939790,,,,relu,0.33413243344071886,128,relu,0.06891281545012959,16,relu,0.08459916721351403,256.0,leaky_relu,0.2792003443298719,256.0,leaky_relu,False,0.02770332747831497,16,,,,,,,,,0.0025255208347783067,0.003580876829227253,4,1,SGD,0.0001601107395889983,PRUNED
26,26,0.31516665071249006,2026-04-04 19:52:14.742162,2026-04-04 19:52:26.454635,0 days 00:00:11.712473,,0.7688785122103297,0.9513771595906708,leaky_relu,0.2328540806601041,128,relu,0.13934940848135413,16,relu,0.0036366615071493774,256.0,leaky_relu,0.22378997825337976,256.0,leaky_relu,False,0.07076495311897486,16,,,,,,,,,0.005606975944748314,,4,1,Adam,0.00026243033573922025,COMPLETE
27,27,0.5701955690979957,2026-04-04 19:52:26.468525,2026-04-04 19:52:32.446285,0 days 00:00:05.977760,,0.7643608290389392,0.9229664698119282,leaky_relu,0.22075125217830432,128,relu,0.13734621483792658,16,relu,0.0007437269981514782,256.0,leaky_relu,0.20045932319627663,256.0,leaky_relu,False,0.07927673656447802,16,leaky_relu,False,0.0477922955885321,16.0,,,,,0.0012914069077458405,,4,2,Adam,0.00036758315738753415,PRUNED
28,28,0.3343059033155441,2026-04-04 19:52:32.455571,2026-04-04 19:52:43.777338,0 days 00:00:11.321767,,0.7666320810194364,0.9504644610974275,leaky_relu,0.2723062172922639,128,relu,0.12659760890171223,16,leaky_relu,0.07524140434931481,256.0,leaky_relu,0.2539245039653662,128.0,leaky_relu,False,0.10908883193847169,16,,,,,,,,,0.00456260248875317,,4,1,Adam,0.0009607715673461336,COMPLETE
29,29,0.5793901741504669,2026-04-04 19:52:43.788925,2026-04-04 19:52:55.047334,0 days 00:00:11.258409,,0.7667624124312729,0.946931291500343,leaky_relu,0.19836845430742536,128,leaky_relu,0.0752860531084057,256,relu,0.04113392596266953,256.0,leaky_relu,0.15201633513662574,16.0,leaky_relu,False,0.06092333204370956,16,leaky_relu,False,0.15485119956657076,32.0,,,,,0.002492142293136792,,4,2,Adam,1.0087245875561895e-05,PRUNED
30,30,2.274891126155853,2026-04-04 19:52:55.056342,2026-04-04 19:53:03.127701,0 days 00:00:08.071359,,,,leaky_relu,0.23262481670131996,128,relu,0.24558789742438059,128,relu,0.015327313756652207,256.0,leaky_relu,0.32406753444761094,64.0,leaky_relu,False,0.05168889828723436,16,,,,,,,,,0.0014982944680106184,0.39022258216700706,4,1,SGD,0.0003294009747768725,PRUNED
31,31,0.28907848596572877,2026-04-04 19:53:03.138477,2026-04-04 19:53:14.831464,0 days 00:00:11.692987,,0.7952175785169893,0.9764963079265881,relu,0.36906308624931705,128,relu,0.04413376680791457,16,relu,0.12204331298976913,256.0,leaky_relu,0.2467374593645769,256.0,leaky_relu,False,0.025755698123649,16,,,,,,,,,0.006476881204496919,,4,1,Adam,0.00014209807519098252,COMPLETE
32,32,0.2967154890298843,2026-04-04 19:53:14.844790,2026-04-04 19:53:26.616001,0 days 00:00:11.771211,,0.7936270242157897,0.9779935974737337,leaky_relu,0.2787681962317926,128,relu,0.04611983817635141,16,relu,0.10814100621769547,256.0,leaky_relu,0.24022484076050457,256.0,leaky_relu,False,0.023452343466768055,16,,,,,,,,,0.006689709890591905,,4,1,Adam,0.00015830731480989977,COMPLETE
33,33,1.5725520491600036,2026-04-04 19:53:26.626745,2026-04-04 19:53:32.577220,0 days 00:00:05.950475,,0.7912996460069697,0.9793580991237962,relu,0.33315321527474473,128,relu,0.04083451438420177,16,relu,0.10470083434155561,256.0,leaky_relu,0.2482911399796506,256.0,leaky_relu,False,0.02136345444177363,16,,,,,,,,,0.00010695725674477185,,4,1,Adam,0.0001404129943147357,PRUNED
34,34,0.47690870612859726,2026-04-04 19:53:32.588347,2026-04-04 19:53:43.943020,0 days 00:00:11.354673,,0.7003905681150151,0.9757446186094834,relu,0.2897849404479684,128,relu,0.09339026823829662,256,relu,0.15906080835184103,256.0,leaky_relu,0.3341269754329394,32.0,relu,True,0.02378287928422015,16,,,,,,,,,0.006690775896067672,,4,1,Adam,7.646124802361022e-05,PRUNED
35,35,0.27917681634426117,2026-04-04 19:53:43.953864,2026-04-04 19:54:03.274011,0 days 00:00:19.320147,,0.8394224072244975,0.9928560957355468,leaky_relu,0.36522518203465304,256,leaky_relu,0.054609577774413026,16,relu,0.11206418995497981,256.0,leaky_relu,0.1442970761574137,256.0,leaky_relu,False,0.05261624346360826,64,,,,,,,,,0.0038569147105003507,,4,1,Adam,5.724730667146463e-05,COMPLETE
36,36,0.49332121312618255,2026-04-04 19:54:03.290500,2026-04-04 19:54:13.351999,0 days 00:00:10.061499,,0.8406379427107075,0.9987613523109935,leaky_relu,0.36360157722118736,256,leaky_relu,0.050782802281748814,64,leaky_relu,0.11634447238542799,16.0,relu,0.1443289316048293,256.0,leaky_relu,True,0.05560745796113314,64,,,,,,,,,0.002717046767559564,,4,1,Adam,5.85759748269902e-05,PRUNED
